"Notes","County of Residence","County of Residence Code","Year","Year Code","Gestational Hypertension","Gestational Hypertension Code",Births
,"Unidentified Counties, MO","29999","2017","2017","Yes","1",2118
,"Unidentified Counties, MO","29999","2017","2017","No","2",24832
"Total","Unidentified Counties, MO","29999","2017","2017",,,26950
,"Unidentified Counties, MO","29999","2018","2018","Yes","1",2172
,"Unidentified Counties, MO","29999","2018","2018","No","2",25650
"Total","Unidentified Counties, MO","29999","2018","2018",,,27822
,"Unidentified Counties, MO","29999","2019","2019","Yes","1",2259
,"Unidentified Counties, MO","29999","2019","2019","No","2",24673
"Total","Unidentified Counties, MO","29999","2019","2019",,,26932
,"Unidentified Counties, MO","29999","2020","2020","Yes","1",2367
,"Unidentified Counties, MO","29999","2020","2020","No","2",23675
"Total","Unidentified Counties, MO","29999","2020","2020",,,26042
,"Unidentified Counties, MO","29999","2021","2021","Yes","1",2536
,"Unidentified Counties, MO","29999","2021","2021","No","2",23835
"Total","Unidentified Counties, MO","29999","2021","2021",,,26371
,"Unidentified Counties, MO","29999","2022","2022","Yes","1",2699
,"Unidentified Counties, MO","29999","2022","2022","No","2",23708
"Total","Unidentified Counties, MO","29999","2022","2022",,,26407
,"Unidentified Counties, MO","29999","2023","2023","Yes","1",2883
,"Unidentified Counties, MO","29999","2023","2023","No","2",23664
"Total","Unidentified Counties, MO","29999","2023","2023",,,26547
,"Unidentified Counties, MO","29999","2024","2024","Yes","1",2991
,"Unidentified Counties, MO","29999","2024","2024","No","2",23590
"Total","Unidentified Counties, MO","29999","2024","2024",,,26581
"Total","Unidentified Counties, MO","29999",,,,,240805
"Total",,,,,,,565557
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Gestational Diabetes: Yes; No"
"Gestational Hypertension: Yes; No"
"Marital Status: Married; Unmarried"
"Mother's Education: 8th grade or less; 9th through 12th grade with no diploma; High school graduate or GED completed; Some"
"college credit, but not a degree; Associate degree (AA, AS); Bachelor's degree (BA, AB, BS); Master's degree (MA, MS, MEng, MEd,"
"MSW, MBA); Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"
