"Notes","County of Residence","County of Residence Code","Year","Year Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Jackson County, MO","29095","2018","2018","2000 - 2499 grams","05",472
,"Jackson County, MO","29095","2018","2018","2500 - 2999 grams","06",1643
,"Jackson County, MO","29095","2018","2018","3000 - 3499 grams","07",3056
,"Jackson County, MO","29095","2018","2018","3500 - 3999 grams","08",2109
,"Jackson County, MO","29095","2018","2018","4000 - 4499 grams","09",538
,"Jackson County, MO","29095","2018","2018","4500 - 4999 grams","10",65
,"Jackson County, MO","29095","2019","2019","499 grams or less","01",12
,"Jackson County, MO","29095","2019","2019","500 - 999 grams","02",43
,"Jackson County, MO","29095","2019","2019","1000 - 1499 grams","03",57
,"Jackson County, MO","29095","2019","2019","1500 - 1999 grams","04",157
,"Jackson County, MO","29095","2019","2019","2000 - 2499 grams","05",494
,"Jackson County, MO","29095","2019","2019","2500 - 2999 grams","06",1615
,"Jackson County, MO","29095","2019","2019","3000 - 3499 grams","07",3126
,"Jackson County, MO","29095","2019","2019","3500 - 3999 grams","08",2021
,"Jackson County, MO","29095","2019","2019","4000 - 4499 grams","09",498
,"Jackson County, MO","29095","2019","2019","4500 - 4999 grams","10",57
,"Jackson County, MO","29095","2020","2020","500 - 999 grams","02",46
,"Jackson County, MO","29095","2020","2020","1000 - 1499 grams","03",68
,"Jackson County, MO","29095","2020","2020","1500 - 1999 grams","04",122
,"Jackson County, MO","29095","2020","2020","2000 - 2499 grams","05",460
,"Jackson County, MO","29095","2020","2020","2500 - 2999 grams","06",1637
,"Jackson County, MO","29095","2020","2020","3000 - 3499 grams","07",2973
,"Jackson County, MO","29095","2020","2020","3500 - 3999 grams","08",1979
,"Jackson County, MO","29095","2020","2020","4000 - 4499 grams","09",512
,"Jackson County, MO","29095","2020","2020","4500 - 4999 grams","10",63
,"Jackson County, MO","29095","2021","2021","499 grams or less","01",11
,"Jackson County, MO","29095","2021","2021","500 - 999 grams","02",34
,"Jackson County, MO","29095","2021","2021","1000 - 1499 grams","03",54
,"Jackson County, MO","29095","2021","2021","1500 - 1999 grams","04",153
,"Jackson County, MO","29095","2021","2021","2000 - 2499 grams","05",508
,"Jackson County, MO","29095","2021","2021","2500 - 2999 grams","06",1474
,"Jackson County, MO","29095","2021","2021","3000 - 3499 grams","07",2820
,"Jackson County, MO","29095","2021","2021","3500 - 3999 grams","08",1869
,"Jackson County, MO","29095","2021","2021","4000 - 4499 grams","09",448
,"Jackson County, MO","29095","2021","2021","4500 - 4999 grams","10",62
,"Jackson County, MO","29095","2022","2022","499 grams or less","01",19
,"Jackson County, MO","29095","2022","2022","500 - 999 grams","02",50
,"Jackson County, MO","29095","2022","2022","1000 - 1499 grams","03",75
,"Jackson County, MO","29095","2022","2022","1500 - 1999 grams","04",162
,"Jackson County, MO","29095","2022","2022","2000 - 2499 grams","05",518
,"Jackson County, MO","29095","2022","2022","2500 - 2999 grams","06",1620
,"Jackson County, MO","29095","2022","2022","3000 - 3499 grams","07",3039
,"Jackson County, MO","29095","2022","2022","3500 - 3999 grams","08",1920
,"Jackson County, MO","29095","2022","2022","4000 - 4499 grams","09",470
,"Jackson County, MO","29095","2022","2022","4500 - 4999 grams","10",50
,"Jackson County, MO","29095","2023","2023","499 grams or less","01",13
,"Jackson County, MO","29095","2023","2023","500 - 999 grams","02",35
,"Jackson County, MO","29095","2023","2023","1000 - 1499 grams","03",57
,"Jackson County, MO","29095","2023","2023","1500 - 1999 grams","04",135
,"Jackson County, MO","29095","2023","2023","2000 - 2499 grams","05",476
,"Jackson County, MO","29095","2023","2023","2500 - 2999 grams","06",1676
,"Jackson County, MO","29095","2023","2023","3000 - 3499 grams","07",3146
,"Jackson County, MO","29095","2023","2023","3500 - 3999 grams","08",1920
,"Jackson County, MO","29095","2023","2023","4000 - 4499 grams","09",490
,"Jackson County, MO","29095","2023","2023","4500 - 4999 grams","10",68
,"Jackson County, MO","29095","2024","2024","499 grams or less","01",15
,"Jackson County, MO","29095","2024","2024","500 - 999 grams","02",40
,"Jackson County, MO","29095","2024","2024","1000 - 1499 grams","03",54
,"Jackson County, MO","29095","2024","2024","1500 - 1999 grams","04",158
,"Jackson County, MO","29095","2024","2024","2000 - 2499 grams","05",524
,"Jackson County, MO","29095","2024","2024","2500 - 2999 grams","06",1648
,"Jackson County, MO","29095","2024","2024","3000 - 3499 grams","07",3237
,"Jackson County, MO","29095","2024","2024","3500 - 3999 grams","08",1945
,"Jackson County, MO","29095","2024","2024","4000 - 4499 grams","09",503
,"Jackson County, MO","29095","2024","2024","4500 - 4999 grams","10",63
,"Jasper County, MO","29097","2016","2016","1500 - 1999 grams","04",27
,"Jasper County, MO","29097","2016","2016","2000 - 2499 grams","05",61
,"Jasper County, MO","29097","2016","2016","2500 - 2999 grams","06",274
,"Jasper County, MO","29097","2016","2016","3000 - 3499 grams","07",627
,"Jasper County, MO","29097","2016","2016","3500 - 3999 grams","08",438
,"Jasper County, MO","29097","2016","2016","4000 - 4499 grams","09",137
,"Jasper County, MO","29097","2016","2016","4500 - 4999 grams","10",14
,"Jasper County, MO","29097","2017","2017","1000 - 1499 grams","03",12
,"Jasper County, MO","29097","2017","2017","1500 - 1999 grams","04",16
,"Jasper County, MO","29097","2017","2017","2000 - 2499 grams","05",64
,"Jasper County, MO","29097","2017","2017","2500 - 2999 grams","06",262
,"Jasper County, MO","29097","2017","2017","3000 - 3499 grams","07",584
,"Jasper County, MO","29097","2017","2017","3500 - 3999 grams","08",439
,"Jasper County, MO","29097","2017","2017","4000 - 4499 grams","09",127
,"Jasper County, MO","29097","2017","2017","4500 - 4999 grams","10",20
,"Jasper County, MO","29097","2018","2018","1000 - 1499 grams","03",11
,"Jasper County, MO","29097","2018","2018","1500 - 1999 grams","04",18
,"Jasper County, MO","29097","2018","2018","2000 - 2499 grams","05",68
,"Jasper County, MO","29097","2018","2018","2500 - 2999 grams","06",288
,"Jasper County, MO","29097","2018","2018","3000 - 3499 grams","07",563
,"Jasper County, MO","29097","2018","2018","3500 - 3999 grams","08",427
