"Notes","County of Residence","County of Residence Code","Year","Year Code","Number of Prenatal Visits Recode","Number of Prenatal Visits Recode Code",Births
,"Greene County, MO","29077","2020","2020","5 to 6 visits","4",129
,"Greene County, MO","29077","2020","2020","7 to 8 visits","5",192
,"Greene County, MO","29077","2020","2020","9 to 10 visits","6",393
,"Greene County, MO","29077","2020","2020","11 to 12 visits","7",812
,"Greene County, MO","29077","2020","2020","13 to 14 visits","8",772
,"Greene County, MO","29077","2020","2020","15 to 16 visits","9",259
,"Greene County, MO","29077","2020","2020","17 to 18 visits","10",108
,"Greene County, MO","29077","2020","2020","19 or more visits","11",103
,"Greene County, MO","29077","2021","2021","No visits","1",139
,"Greene County, MO","29077","2021","2021","1 to 2 visits","2",22
,"Greene County, MO","29077","2021","2021","3 to 4 visits","3",85
,"Greene County, MO","29077","2021","2021","5 to 6 visits","4",156
,"Greene County, MO","29077","2021","2021","7 to 8 visits","5",225
,"Greene County, MO","29077","2021","2021","9 to 10 visits","6",472
,"Greene County, MO","29077","2021","2021","11 to 12 visits","7",858
,"Greene County, MO","29077","2021","2021","13 to 14 visits","8",681
,"Greene County, MO","29077","2021","2021","15 to 16 visits","9",261
,"Greene County, MO","29077","2021","2021","17 to 18 visits","10",76
,"Greene County, MO","29077","2021","2021","19 or more visits","11",89
,"Greene County, MO","29077","2022","2022","No visits","1",118
,"Greene County, MO","29077","2022","2022","1 to 2 visits","2",37
,"Greene County, MO","29077","2022","2022","3 to 4 visits","3",103
,"Greene County, MO","29077","2022","2022","5 to 6 visits","4",131
,"Greene County, MO","29077","2022","2022","7 to 8 visits","5",233
,"Greene County, MO","29077","2022","2022","9 to 10 visits","6",480
,"Greene County, MO","29077","2022","2022","11 to 12 visits","7",832
,"Greene County, MO","29077","2022","2022","13 to 14 visits","8",611
,"Greene County, MO","29077","2022","2022","15 to 16 visits","9",218
,"Greene County, MO","29077","2022","2022","17 to 18 visits","10",77
,"Greene County, MO","29077","2022","2022","19 or more visits","11",96
,"Greene County, MO","29077","2023","2023","No visits","1",144
,"Greene County, MO","29077","2023","2023","1 to 2 visits","2",58
,"Greene County, MO","29077","2023","2023","3 to 4 visits","3",106
,"Greene County, MO","29077","2023","2023","5 to 6 visits","4",133
,"Greene County, MO","29077","2023","2023","7 to 8 visits","5",192
,"Greene County, MO","29077","2023","2023","9 to 10 visits","6",464
,"Greene County, MO","29077","2023","2023","11 to 12 visits","7",835
,"Greene County, MO","29077","2023","2023","13 to 14 visits","8",653
,"Greene County, MO","29077","2023","2023","15 to 16 visits","9",236
,"Greene County, MO","29077","2023","2023","17 to 18 visits","10",88
,"Greene County, MO","29077","2023","2023","19 or more visits","11",91
,"Greene County, MO","29077","2024","2024","No visits","1",109
,"Greene County, MO","29077","2024","2024","1 to 2 visits","2",63
,"Greene County, MO","29077","2024","2024","3 to 4 visits","3",156
,"Greene County, MO","29077","2024","2024","5 to 6 visits","4",152
,"Greene County, MO","29077","2024","2024","7 to 8 visits","5",231
,"Greene County, MO","29077","2024","2024","9 to 10 visits","6",499
,"Greene County, MO","29077","2024","2024","11 to 12 visits","7",900
,"Greene County, MO","29077","2024","2024","13 to 14 visits","8",633
,"Greene County, MO","29077","2024","2024","15 to 16 visits","9",205
,"Greene County, MO","29077","2024","2024","17 to 18 visits","10",104
,"Greene County, MO","29077","2024","2024","19 or more visits","11",152
,"Jackson County, MO","29095","2016","2016","No visits","1",132
,"Jackson County, MO","29095","2016","2016","1 to 2 visits","2",111
,"Jackson County, MO","29095","2016","2016","3 to 4 visits","3",277
,"Jackson County, MO","29095","2016","2016","5 to 6 visits","4",434
,"Jackson County, MO","29095","2016","2016","7 to 8 visits","5",769
,"Jackson County, MO","29095","2016","2016","9 to 10 visits","6",1464
,"Jackson County, MO","29095","2016","2016","11 to 12 visits","7",2195
,"Jackson County, MO","29095","2016","2016","13 to 14 visits","8",1779
,"Jackson County, MO","29095","2016","2016","15 to 16 visits","9",637
,"Jackson County, MO","29095","2016","2016","17 to 18 visits","10",144
,"Jackson County, MO","29095","2016","2016","19 or more visits","11",125
,"Jackson County, MO","29095","2017","2017","No visits","1",168
,"Jackson County, MO","29095","2017","2017","1 to 2 visits","2",125
,"Jackson County, MO","29095","2017","2017","3 to 4 visits","3",291
,"Jackson County, MO","29095","2017","2017","5 to 6 visits","4",451
,"Jackson County, MO","29095","2017","2017","7 to 8 visits","5",839
,"Jackson County, MO","29095","2017","2017","9 to 10 visits","6",1523
,"Jackson County, MO","29095","2017","2017","11 to 12 visits","7",2178
,"Jackson County, MO","29095","2017","2017","13 to 14 visits","8",1744
,"Jackson County, MO","29095","2017","2017","15 to 16 visits","9",528
,"Jackson County, MO","29095","2017","2017","17 to 18 visits","10",163
,"Jackson County, MO","29095","2017","2017","19 or more visits","11",127
,"Jackson County, MO","29095","2018","2018","No visits","1",150
,"Jackson County, MO","29095","2018","2018","1 to 2 visits","2",151
,"Jackson County, MO","29095","2018","2018","3 to 4 visits","3",313
,"Jackson County, MO","29095","2018","2018","5 to 6 visits","4",454
,"Jackson County, MO","29095","2018","2018","7 to 8 visits","5",823
,"Jackson County, MO","29095","2018","2018","9 to 10 visits","6",1507
,"Jackson County, MO","29095","2018","2018","11 to 12 visits","7",2268
,"Jackson County, MO","29095","2018","2018","13 to 14 visits","8",1720
,"Jackson County, MO","29095","2018","2018","15 to 16 visits","9",486
,"Jackson County, MO","29095","2018","2018","17 to 18 visits","10",150
,"Jackson County, MO","29095","2018","2018","19 or more visits","11",133
,"Jackson County, MO","29095","2019","2019","No visits","1",174
,"Jackson County, MO","29095","2019","2019","1 to 2 visits","2",198
,"Jackson County, MO","29095","2019","2019","3 to 4 visits","3",288
,"Jackson County, MO","29095","2019","2019","5 to 6 visits","4",422
,"Jackson County, MO","29095","2019","2019","7 to 8 visits","5",749
,"Jackson County, MO","29095","2019","2019","9 to 10 visits","6",1541
,"Jackson County, MO","29095","2019","2019","11 to 12 visits","7",2280
,"Jackson County, MO","29095","2019","2019","13 to 14 visits","8",1689
,"Jackson County, MO","29095","2019","2019","15 to 16 visits","9",487
,"Jackson County, MO","29095","2019","2019","17 to 18 visits","10",127
,"Jackson County, MO","29095","2019","2019","19 or more visits","11",134
,"Jackson County, MO","29095","2020","2020","No visits","1",156
,"Jackson County, MO","29095","2020","2020","1 to 2 visits","2",199
,"Jackson County, MO","29095","2020","2020","3 to 4 visits","3",294
,"Jackson County, MO","29095","2020","2020","5 to 6 visits","4",504
,"Jackson County, MO","29095","2020","2020","7 to 8 visits","5",918
,"Jackson County, MO","29095","2020","2020","9 to 10 visits","6",1765
,"Jackson County, MO","29095","2020","2020","11 to 12 visits","7",2221
,"Jackson County, MO","29095","2020","2020","13 to 14 visits","8",1316
