"Notes","County of Residence","County of Residence Code","Year","Year Code","Mother's Education","Mother's Education Code",Births
,"Greene County, MO","29077","2024","2024","Some college credit, but not a degree","4",662
,"Greene County, MO","29077","2024","2024","Associate degree (AA, AS)","5",317
,"Greene County, MO","29077","2024","2024","Bachelor's degree (BA, AB, BS)","6",672
,"Greene County, MO","29077","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",273
,"Greene County, MO","29077","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",71
,"Jackson County, MO","29095","2016","2016","8th grade or less","1",196
,"Jackson County, MO","29095","2016","2016","9th through 12th grade with no diploma","2",931
,"Jackson County, MO","29095","2016","2016","High school graduate or GED completed","3",2037
,"Jackson County, MO","29095","2016","2016","Some college credit, but not a degree","4",1961
,"Jackson County, MO","29095","2016","2016","Associate degree (AA, AS)","5",609
,"Jackson County, MO","29095","2016","2016","Bachelor's degree (BA, AB, BS)","6",1498
,"Jackson County, MO","29095","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",658
,"Jackson County, MO","29095","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",177
,"Jackson County, MO","29095","2017","2017","8th grade or less","1",180
,"Jackson County, MO","29095","2017","2017","9th through 12th grade with no diploma","2",885
,"Jackson County, MO","29095","2017","2017","High school graduate or GED completed","3",2104
,"Jackson County, MO","29095","2017","2017","Some college credit, but not a degree","4",1969
,"Jackson County, MO","29095","2017","2017","Associate degree (AA, AS)","5",607
,"Jackson County, MO","29095","2017","2017","Bachelor's degree (BA, AB, BS)","6",1547
,"Jackson County, MO","29095","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",652
,"Jackson County, MO","29095","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",193
,"Jackson County, MO","29095","2018","2018","8th grade or less","1",186
,"Jackson County, MO","29095","2018","2018","9th through 12th grade with no diploma","2",904
,"Jackson County, MO","29095","2018","2018","High school graduate or GED completed","3",2191
,"Jackson County, MO","29095","2018","2018","Some college credit, but not a degree","4",1923
,"Jackson County, MO","29095","2018","2018","Associate degree (AA, AS)","5",634
,"Jackson County, MO","29095","2018","2018","Bachelor's degree (BA, AB, BS)","6",1518
,"Jackson County, MO","29095","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",625
,"Jackson County, MO","29095","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",174
,"Jackson County, MO","29095","2019","2019","8th grade or less","1",187
,"Jackson County, MO","29095","2019","2019","9th through 12th grade with no diploma","2",872
,"Jackson County, MO","29095","2019","2019","High school graduate or GED completed","3",2247
,"Jackson County, MO","29095","2019","2019","Some college credit, but not a degree","4",1816
,"Jackson County, MO","29095","2019","2019","Associate degree (AA, AS)","5",567
,"Jackson County, MO","29095","2019","2019","Bachelor's degree (BA, AB, BS)","6",1557
,"Jackson County, MO","29095","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",679
,"Jackson County, MO","29095","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",164
,"Jackson County, MO","29095","2020","2020","8th grade or less","1",171
,"Jackson County, MO","29095","2020","2020","9th through 12th grade with no diploma","2",866
,"Jackson County, MO","29095","2020","2020","High school graduate or GED completed","3",2252
,"Jackson County, MO","29095","2020","2020","Some college credit, but not a degree","4",1663
,"Jackson County, MO","29095","2020","2020","Associate degree (AA, AS)","5",575
,"Jackson County, MO","29095","2020","2020","Bachelor's degree (BA, AB, BS)","6",1538
,"Jackson County, MO","29095","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",640
,"Jackson County, MO","29095","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",176
