Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Service Utilization:  Mother on Medicaid;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taney,374,57.10,,330,54.73,,427,65.49,,393,62.78,,378,63.21,,356,63.23,,335,56.11,,396,66.11,,395,65.40,,3384,61.56,,
Texas,149,49.83,,153,54.06,,151,57.63,,151,55.11,,134,51.74,,158,53.20,,131,50.38,,142,51.26,,137,48.41,,1306,52.37,,
Vernon,114,50.00,,114,50.22,,115,45.45,,106,44.73,,129,53.09,,103,43.10,,117,52.47,,130,54.39,,127,50.20,,1055,49.25,,
Warren,172,40.86,,135,33.17,,154,36.24,,144,34.53,,126,33.78,,136,32.23,,133,29.30,,129,30.57,,142,30.60,,1271,33.40,,
Washington,169,60.36,,164,58.36,,166,62.17,,140,62.78,,115,56.93,,127,52.26,,155,59.39,,124,55.36,,110,52.88,,1270,58.02,,
Wayne,97,68.79,,105,70.47,,70,61.40,,94,67.14,,68,62.39,,74,70.48,,87,67.44,,79,73.15,,92,69.17,,766,67.91,,
Webster,207,35.81,,158,28.62,,197,32.62,,233,37.64,,178,32.60,,198,33.06,,191,31.01,,204,33.77,,216,33.28,,1782,33.20,,
Worth,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,60,29.70,,
Wright,140,52.24,,139,54.09,,121,52.84,,130,51.38,,111,50.45,,130,52.85,,131,50.78,,131,49.81,,156,57.78,,1189,52.52,,
Total for selection,28815,39.07,,27915,38.78,,28535,39.39,,27486,38.60,,27009,39.74,,26584,39.33,,26651,39.28,,26984,40.63,,26034,38.74,,246013,39.27,,
Missouri,28815,39.07,,27915,38.78,,28535,39.39,,27486,38.60,,27009,39.74,,26584,39.33,,26651,39.28,,26984,40.63,,26034,38.74,,246013,39.27,,
Confidentiality:,"The ""x"" symbol indicates the confidentiality rule has been triggered.",
Rate:,Rate per 100 Numerator: Prenatal Service Utilization:  Mother on Medicaid   Denominator: Live Births with Known Medicaid Status,
Source:,DHSS - MOPHIMS - Birth MICA,
Generated On:,7/10/2026 8:58:17 PM,
*,Rate is unreliable; numerator less than 20,
