county,year,live_births,preterm_rate,lbw_rate,smoking_rate,early_prenatal_rate,medicaid_rate,low_education_rate
Iron,2019,107,14.02,9.35,29.25,57.55,54.88,14.95
Iron,2020,93,16.13,11.83,34.07,65.91,62.07,13.98
Iron,2021,91,15.38,8.89,19.78,68.89,41.98,10.99
Iron,2022,84,8.33,7.14,16.87,74.39,59.52,16.67
Iron,2023,94,11.83,7.45,16.3,65.22,56.38,12.77
Iron,2024,93,16.13,11.83,15.22,72.53,57.61,10.75
Jackson,2016,9414,10.51,9.43,12.24,67.9,44.8,15.36
Jackson,2017,9295,10.6,9.25,11.28,66.44,46.57,14.39
Jackson,2018,9075,11.03,9.49,10.31,65.88,46.28,14.53
Jackson,2019,8850,11.08,9.63,9.71,66.53,46.03,14.34
Jackson,2020,8789,11.01,9.27,9.17,66.12,47.34,14.39
Jackson,2021,8348,11.76,10.51,7.33,68.97,46.85,12.88
Jackson,2022,8558,11.68,10.79,5.51,67.36,45.65,13.45
